Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/2016,100,160,100,160,MARYLAND,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/2016,130,160,130,160,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,10/29/2016,130,130,130,130,MARYLAND,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/5/2016,120,130,120,130,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/5/2016,100,130,100,130,MARYLAND,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/5/2016,90,100,90,100,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,11/12/2016,100,120,100,100,MARYLAND,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/16/2017,160,160,160,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/23/2017,160,160,160,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/30/2017,150,160,150,160,MARYLAND,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,HOWDEN TYPE,,,9/30/2017,150,160,150,160,MARYLAND,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,HOWDEN WHITE TYPE,,,9/23/2017,160,180,160,180,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,HOWDEN WHITE TYPE,,,9/30/2017,180,180,180,180,MARYLAND,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,6/3/2017,380,380,380,380,,,xlge,,,,,,,,,E,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,6/10/2017,380,380,380,380,,,xlge,,,,,,,,,E,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,6/17/2017,380,380,380,380,,,xlge,,,,,,,,,E,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,8/19/2017,200,200,200,200,MEXICO,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,8/26/2017,200,350,200,350,MEXICO,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,9/2/2017,350,350,350,350,MEXICO,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,9/9/2017,180,180,180,180,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,9/9/2017,200,200,200,200,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,9/16/2017,180,200,180,200,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,9/16/2017,180,200,180,200,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,9/23/2017,340,340,340,340,MARYLAND,,jbo,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,9/23/2017,240,250,240,250,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,9/23/2017,200,200,200,200,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,9/30/2017,340,340,340,340,MARYLAND,,jbo,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,9/30/2017,240,250,240,250,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,CINDERELLA,,,9/30/2017,180,200,180,200,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,50 lb sacks,CINDERELLA,,,8/12/2017,29,29,29,29,COSTA RICA,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,50 lb sacks,CINDERELLA,,,8/12/2017,29,29,29,29,MEXICO,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,50 lb sacks,CINDERELLA,,,8/19/2017,28,29,28,29,COSTA RICA,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,50 lb sacks,CINDERELLA,,,8/26/2017,28,29,28,29,COSTA RICA,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,50 lb sacks,CINDERELLA,,,8/26/2017,29,29,29,29,FLORIDA,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,50 lb sacks,CINDERELLA,,,9/2/2017,29,29,29,29,FLORIDA,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,50 lb sacks,CINDERELLA,,,9/9/2017,15,15,15,15,VIRGINIA,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,50 lb sacks,CINDERELLA,,,9/16/2017,24,24,24,24,MEXICO,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,50 lb sacks,CINDERELLA,,,9/16/2017,15,15,15,15,VIRGINIA,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,9/24/2016,250,260,250,260,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,9/24/2016,250,260,250,260,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,10/1/2016,250,260,250,260,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,10/1/2016,250,260,250,260,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,10/8/2016,235,260,235,260,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,10/8/2016,250,260,250,260,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,10/15/2016,235,250,235,250,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,10/22/2016,230,240,230,240,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,10/29/2016,220,240,220,230,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,10/29/2016,230,230,230,230,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,11/5/2016,200,230,200,230,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,11/5/2016,200,230,200,230,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,11/12/2016,200,200,200,200,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,11/19/2016,200,200,200,200,MARYLAND,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,11/19/2016,200,230,200,230,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,FAIRYTALE,,,11/26/2016,210,210,210,210,VIRGINIA,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,9/24/2016,15,15,15,15,DELAWARE,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,9/24/2016,18,18,18,18,DELAWARE,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/1/2016,18,18,18,18,DELAWARE,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/1/2016,17,17,17,17,OHIO,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/8/2016,15,15,15,15,DELAWARE,,,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/8/2016,18,18,18,18,DELAWARE,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/8/2016,17,17,17,17,OHIO,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/8/2016,17,18.5,17,18.5,PENNSYLVANIA,,,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/15/2016,15,15,15,15,DELAWARE,,,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/15/2016,17,17,17,17,OHIO,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/15/2016,17,18.5,17,18.5,PENNSYLVANIA,,,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/22/2016,15,15,15,15,DELAWARE,,,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/22/2016,17,17,17,17,OHIO,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/22/2016,17,18.5,17,18.5,PENNSYLVANIA,,,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/29/2016,15,15,15,15,DELAWARE,,,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/29/2016,16,17,16,17,OHIO,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,10/29/2016,16,18,16,18,PENNSYLVANIA,,,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,9/16/2017,18,18,18,18,MARYLAND,,med,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,9/23/2017,16,16,16,16,DELAWARE,,med,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,9/23/2017,18,18,18,18,MARYLAND,,med,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,9/23/2017,16,16,16,16,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,9/30/2017,16,16,16,16,DELAWARE,,med,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,PIE TYPE,,,9/30/2017,16,16,16,16,PENNSYLVANIA,,med,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,PIE TYPE,,,9/24/2016,160,160,160,160,VIRGINIA,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,PIE TYPE,,,9/23/2017,200,200,200,200,MARYLAND,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,PIE TYPE,,,9/30/2017,190,200,190,200,MARYLAND,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,9/24/2016,50,60,50,60,MARYLAND,,,WHITE,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,9/24/2016,50,60,50,60,MARYLAND,,,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,9/24/2016,50,60,50,60,VIRGINIA,,,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/1/2016,50,60,50,60,MARYLAND,,,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/1/2016,50,60,50,60,MARYLAND,,,WHITE,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/1/2016,50,60,50,60,VIRGINIA,,,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/8/2016,50,60,50,60,MARYLAND,,,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/8/2016,50,60,50,60,MARYLAND,,,WHITE,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/8/2016,50,60,50,60,MARYLAND,,jbo,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/8/2016,40,60,40,60,MARYLAND,,lge,WHITE,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/8/2016,40,60,40,60,MARYLAND,,med,WHITE,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/8/2016,50,60,50,60,VIRGINIA,,,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/8/2016,50,60,50,60,VIRGINIA,,jbo,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/15/2016,50,60,50,60,MARYLAND,,jbo,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/15/2016,40,60,40,60,MARYLAND,,lge,WHITE,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/15/2016,40,60,40,60,MARYLAND,,med,WHITE,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/15/2016,50,60,50,60,VIRGINIA,,jbo,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/22/2016,50,60,50,60,MARYLAND,,jbo,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/22/2016,40,60,40,60,MARYLAND,,lge,WHITE,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/22/2016,50,60,50,60,VIRGINIA,,jbo,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/29/2016,50,60,50,60,MARYLAND,,jbo,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,10/29/2016,50,60,50,60,VIRGINIA,,jbo,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,9/23/2017,50,50,50,50,MARYLAND,,jbo,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,BIG MACK TYPE,,,9/30/2017,50,50,50,50,MARYLAND,,jbo,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,9/16/2017,160,240,160,240,MARYLAND,,,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,9/23/2017,240,240,240,240,MARYLAND,,,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,9/30/2017,240,240,240,240,MARYLAND,,,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,9/24/2016,18,18,18,18,MARYLAND,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,9/24/2016,15,15,15,15,MARYLAND,,sml,WHITE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/1/2016,18,18,18,18,MARYLAND,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/1/2016,15,15,15,15,MARYLAND,,sml,WHITE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/1/2016,17,17,17,17,OHIO,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/8/2016,15,15,15,15,MARYLAND,,sml,WHITE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/8/2016,15,18,15,18,MARYLAND,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/8/2016,16,17,16,17,OHIO,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/8/2016,16,18,16,18,VIRGINIA,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/15/2016,15,15,15,15,MARYLAND,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/15/2016,15,15,15,15,MARYLAND,,sml,WHITE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/15/2016,16,17,16,17,OHIO,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/15/2016,16,18,16,18,VIRGINIA,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/22/2016,15,15,15,15,MARYLAND,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/22/2016,15,15,15,15,MARYLAND,,sml,WHITE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/22/2016,16,17,16,17,OHIO,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/22/2016,16,18,16,18,VIRGINIA,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/29/2016,15,17,15,17,MARYLAND,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/29/2016,15,15,15,15,MARYLAND,,sml,WHITE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/29/2016,16,17,16,17,OHIO,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,10/29/2016,16,18,16,18,VIRGINIA,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,11/5/2016,16,17,16,17,OHIO,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,,,9/16/2017,18,18,18,18,MARYLAND,,,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,,,9/23/2017,18,18,18,18,MARYLAND,,,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,,,9/23/2017,18,18,18,18,PENNSYLVANIA,,,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,,,9/30/2017,18,18,18,18,MARYLAND,,,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,,,9/30/2017,18,18,18,18,PENNSYLVANIA,,,ORANGE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,ROUND TYPE,,9/24/2016,15,15,15,15,MARYLAND,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,ROUND TYPE,,10/1/2016,15,15,15,15,MARYLAND,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,MINIATURE,ROUND TYPE,,10/8/2016,15,15,15,15,MARYLAND,,sml,,,,,,,,,N,
